Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee
514556596;2GO CONSULTING;19 AVENUE VICTOR HUGO;26000;VALENCE;6492Z Autres activités des services financiers, hors assurance et caisses de retraite;INTERNE;Etendue
439055591;2L MULTIMEDIA;PARK NORD LES PLEIADES N33 N33 LES PLEIADES;74370;EPAGNY-METZ-TESSY;"6312Z Traitement de données, hébergement et activités connexes ; portails internet";INTERNE;Etendue
522194182;2RD;99 BIS AVENUE EDOUARD VAILLANT;92100;BOULOGNE;4711C Commerce de détail en magasin non spécialisé;MUTUALISE;Etendue
424188985;2S3I;TELEPORT1, BATIMENT AROBASE 2;86961;FUTUROSCOPE CHASSENEUIL CEDEX /;6202A Programmation, conseil et autres activités informatiques;INTERNE;Etendue
424188985;2S3I;TELEPORT 1, BATIMENT AROBASE 2;86961;FUTUROSCOPE CHASSENEUIL CEDEX /;6202A Programmation, conseil et autres activités informatiques;INTERNE;Etendue
439072281;2SI INTERACTIVE;635 RUE ROBERT MALTHUS;34470;PEROLS;8559A Autres activités d'enseignement;INTERNE;Etendue
775580616;3A COOP;183 AVENUE DES ETATS-UNIS;31200;TOULOUSE;4633Z Commerce de gros de produits alimentaires, de boissons et de tabac;MUTUALISE;Etendue
519050447;3A DIRECT;183 AVENUE DES ETATS UNIS;31200;TOULOUSE;4711B Commerce de détail en magasin non spécialisé;MUTUALISE;Etendue
443108444;3A GROUPE;183 AVENUE DES ETATS UNIS;31200;TOULOUSE;4633Z Commerce de gros de produits alimentaires, de boissons et de tabac;MUTUALISE;Etendue
432726123;3A. NET;44 ALLEE DES CERISIERS;87220;BOISSEUIL;9601B Autres services personnels;EXTERNE;Générale
511858433;3APEXCO SARL;8 ESPLANADE DE LA MANUFACTURE;9130;ISSY LES MOULINEAUX;6920Z Activités comptables;EXTERNE;Etendue
384169108;3I NATURE;LES TIOLANS;03800;SAINT BONNET DE ROCHEFORT;1089Z Fabrication d'autres produits alimentaires;MUTUALISE;Etendue
490573219;3MAGROUP;9 RUE DU DR MANFRED BEHR;68250;ROUFFACH;8219Z Activités administratives;INTERNE;Etendue
538824913;3SI HOLDING;243/245 RUE JEAN JAURÈS;59650;VILLENEUVE D'ASCQ;7010Z Activités des sièges sociaux;MUTUALISE;Etendue
799394085;3SI SUPPORT;243/245 RUE JEAN JAURÈS;59290;VILLENEUVE D'ASCQ;4791A Commerce de détail hors magasin, éventaires ou marchés;MUTUALISE;Etendue
424983724;3X CONSULTANTS;7 ALLEE DES PIONNIERS DE L AEROPOSTALE;31400;TOULOUSE;7022Z Conseil de gestion;INTERNE;Etendue
523074540;450 COMPTE EPARGNE CO2;11, RUE DE POULIZAN;29217;PLOUGONVELIN;"6311Z Traitement de données, hébergement et activités connexes ; portails internet";INTERNE;Etendue
440556983;5 SUR 5 SECURITE;3 AVENUE NICOLAS CONTE;28000;CHARTRES;8010Z Activités de sécurité privée;INTERNE;Etendue
509539573;6PEO;45 RUE CARNOT;59200;TOURCOING;6203Z Programmation, conseil et autres activités informatiques;INTERNE;Etendue
444704621;7IS - ID2 GROUPE;85 RUE ANATOLE FRANCE;92300;LEVALLOIS-PERRET;7022Z Conseil de gestion;MUTUALISE;Etendue
522821917;909 C (SAS);28, RUE KLEBER;93100;MONTREUIL;6201Z Programmation, conseil et autres activités informatiques;EXTERNE;Etendue
532055670;9H37 SAS;21 AVENUE GERMAINE;59110;LA MADELEINE;6202A Programmation, conseil et autres activités informatiques;INTERNE;Etendue
378638290;: ASSOCIATION LOCALE ADMR BALMES DAUPHINOISES ? FAMILLES;14 RUE SAINT THEUDERE;38890;ST CHEF;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
428734859;@LTIMER;11 RUE MARIUS TERCÉ ZAC SAINT MARTIN DU TOUCH;31300;TOULOUSE;6202A Programmation, conseil et autres activités informatiques;INTERNE;Générale
439885488;A CAPPELLA;12 BOULEVARD ALSACE LORRAINE;80000;AMIENS;8292Z Activités de soutien aux entreprises n.c.a.;INTERNE;Etendue
722054434;A LA BONNE SOURCE;122 RUE MOUFFETARD;75005;PARIS;4711D Commerce de détail en magasin non spécialisé;MUTUALISE;Etendue
440430569;A+A SAS;2 AVENUE LACASSAGNE;69003;LYON;7320Z Études de marché et sondages;INTERNE;Etendue
807656947;A. DELANNOY HUISSIER DE JUSTICE;59 RUE DU GENERAL LECLERC;59480;LA BASSEE;;PROFESSIONNEL;Etendue
572621712;A. GIRARD;390  RUE DU GRAND GIGOGNAN;84000;AVIGNON;4399C Autres travaux de construction spécialisés;MUTUALISE;Etendue
779391747;A.D.M.R  ALBON;MAIRIE;26140;ALBON;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
779392372;A.D.M.R  ALLEX;8 AVENUE HENRI SEGUIN;26400;ALLEX;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
779393289;A.D.M.R  ANNEYRON;45 RUE PASTEUR;26140;ANNEYRON;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
779405406;A.D.M.R  CHATEAUNEUF SUR ISERE;RUE DES ECOLES;26300;CHATEAUNEUF SUR ISERE;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
779406701;A.D.M.R  CHATUZANGE LE GOUBET;27 A RUE DES MONTS DU MATIN;26300;CHATUZANGE LE GOUBET;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
779407089;A.D.M.R  CLEON D'ANDRAN;35 A IMP DE LA MARE;26450;CLEON D ANDRAN;9499Z Activités des autres organisations associatives;PROFESSIONNEL;Etendue
304498819;A.D.M.R  DIVAJEU;MAIRIE DE DIVAJEU  PL DES DROITS DE L'HOMME;26400;DIVAJEU;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
315385211;A.D.M.R  DU MASSIF DE COUSPEAU;PLATEAU MEDICAL;26460;BOURDEAUX;8690D Autres activités pour la santé humaine;PROFESSIONNEL;Etendue
779449065;A.D.M.R  DU ROYANS;MAISON DES SERVICES  SQ DE L'ABBE FILLET;26190;ST LAURENT EN ROYANS;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
950408633;A.D.M.R  LE PINIER;MAIRIE;26620;LUS LA CROIX HAUTE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
327612172;A.D.M.R  LE VELLAN;985 C AV DES TROIS BECS;26400;MIRABEL ET BLACONS;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
316137512;A.D.M.R  LES OLIVIERS;2EME ETAGE  ESPACE DU VIEUX RELAIS;26110;MIRABEL AUX BARONNIES;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
779422195;A.D.M.R  MONTELIER;MAISON DES SERVICES 11 RUE DES JARDINS;26120;MONTELIER;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
303336267;A.D.M.R  MOYENNE GALAURE;6 PLACE DU 19 MARS 1962;26330;CHATEAUNEUF DE GALAURE;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
779433275;A.D.M.R  PEYRINS-GENISSIEUX;46 GRANDE RUE;26380;PEYRINS;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
779437771;A.D.M.R  REUNIES;5 AV DU RHONE;26600;PONT DE L'ISERE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
779447325;A.D.M.R  ST DONAT SUR L'HERBASSE;RTE DE SAINT BARDOUX;26260;ST DONAT SUR L HERBASSE;9499Z Activités des autres organisations associatives;PROFESSIONNEL;Etendue
779449545;A.D.M.R  ST MARCEL LES VALENCE;ZA LES ROUSSETS 37 RUE DU VIVARAIS;26320;ST MARCEL LES VALENCE;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
309072015;A.D.M.R  ST UZE-ST BARTHELEMY;8 RUE HECTOR REVOL;26240;ST UZE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
779413632;A.D.M.R  UPIE;PLACE DE LA MAIRIE;26120;UPIE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
779396126;A.D.M.R  VALDAINE-JABRON;180 F RUE ARISTIDE BRIAND;26160;LA BEGUDE DE MAZENC;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
779413491;A.D.M.R ETOILE SUR RHONE;16 PL DE LA REPUBLIQUE;26800;ETOILE SUR RHONE;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
338049208;A.D.M.R. A NOUSTE;MAIRIE D'OSSEN;65100;OSSEN;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
777102583;A.D.M.R. ARREAU;8 QUAI DE LA NESTE;65240;ARREAU;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
323648832;A.D.M.R. BAREGES;MAISON GRADET  AVENUE DE SAINT SAUVEUR;65120;LUZ ST SAUVEUR;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
315634113;A.D.M.R. BARONNIES;MOULIN DE SARLABOUS;65130;SARLABOUS;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
320116957;A.D.M.R. BAROUSSE;1 AV LUCHON;65370;LOURES BAROUSSE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
314407990;A.D.M.R. CAMPAN;MAISON DES ASSOCIATIONS  AV DU GENERAL LECLERC;65710;CAMPAN;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
337513691;A.D.M.R. CAUTERETS;B.P.24 7 AV DE L'ESPLANADE;65110;CAUTERETS;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
348148040;A.D.M.R. ETS LIGADES;MAIRIE DE BARTRES;65100;BARTRES;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
378350839;A.D.M.R. GALAN;3 PLACE DE LA BASTIDE;65330;GALAN;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
304604424;A.D.M.R. HAUT LAVEDAN;1 RUE DES BRUYERES;65400;AGOS VIDALOS;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
312086408;A.D.M.R. LA NESTE;MAIRIE DE ST-LAURENT DE NESTE;65150;ST LAURENT DE NESTE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
384155487;A.D.M.R. LAND'ARROS;ANCIENNE ECOLE DE PRAT;65130;AVEZAC PRAT LAHITTE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
353514284;A.D.M.R. LE RELAIS;MAIRIE;65100;JARRET;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
330705724;A.D.M.R. LES PETITES CANAILLES;RUE DES ECOLES;26320;ST MARCEL LES VALENCE;8891A Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
323856518;A.D.M.R. MAGNOAC;MAISON DE LA SANTE  QUARTIER CAROLLE;65230;CASTELNAU MAGNOAC;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
318165487;A.D.M.R. POUYASTRUC;3 PL DE LA MAIRIE;65350;POUYASTRUC;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
328171517;A.D.M.R. RABASTENS;17 RUE DES PYRENEES;65140;RABASTENS DE BIGORRE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
314953977;A.D.M.R. RIVIERE BASSE;126 PL DE LA LIBERATION;65700;MAUBOURGUET;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
315873026;A.D.M.R. TOURNAY;4 PL D'ASTARAC;65190;TOURNAY;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
317962355;A.D.M.R. TRIE;39 RUE DES MONTS DE BIGORRE;65220;TRIE SUR BAISE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
318424801;A.D.M.R. VIC EN BIGORRE;POLE DES SERVICES PUBLICS 21 PL DU CORPS FRANC POMMIES;65500;VIC EN BIGORRE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
450778774;A.D.P TECHNI-PEINTURE;21 RUE ROBERT MALLET STEVENS;36000;CHATEAUROUX;4339Z Travaux de finition;MUTUALISE;Etendue
338183726;A.G.O.;PA DE TOURBEBRIDE 20 RUE DE LA GUILLAUDERIE;44118;LA CHEVROLIERE;8299Z Activités de soutien aux entreprises n.c.a.;INTERNE;Etendue
780888327;A.L. ADMR DE LA HAGUE;RUE JALLOT  MAIRIE;50440;BEAUMONT HAGUE;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
780911624;A.L. ADMR DU CANTON DE ST JAMES;CHEZ MME FRANCOISE DUFOUR  LA BINOLAIS;50240;ST SENIER DE BEUVRON;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
780919635;A.L. ADMR DU VAL DE SAIRE;CHEZ MME BERNADETTE BAZIN 42 LE TOT DE BAS;50840;FERMANVILLE;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue
447592668;A.L. ADMR FAMILLES SUD MANCHE;1 PLACE CARNOT;50300;AVRANCHES;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
344319488;A.L.ADMR DES PIEUX DOUVE DIVETTE;ROUTE DE FLAMANVILLE  MAISON DES SERVICES;50340;LES PIEUX;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
304487093;A.R.E.P. SA;3, AV. DU GENERAL LECLERC;92100;BOULOGNE BILLANCOURT;7911Z Activités des agences de voyage et voyagistes;INTERNE;Etendue
799278973;A2I BRETAGNE NORMANDIE;11 RUE EMILE BRAULT;53000;LAVAL;7820Z Activités des agences de travail temporaire;MUTUALISE;Etendue
799278999;A2I MAINE CENTRE;11 RUE EMILE BRAULT;53000;LAVAL;7820Z Activités des agences de travail temporaire;MUTUALISE;Etendue
799279013;A2I OUEST ATLANTIQUE;11 RUE EMILE BRAULT;53000;LAVAL;7820Z Activités des agences de travail temporaire;MUTUALISE;Etendue
815089636;A2I PACA;11 RUE EMILE BRAULT;53000;LAVAL;7820Z Activités des agences de travail temporaire;MUTUALISE;Etendue
819435439;A2I PAYS DE LA LOIRE;11 RUE EMILE BRAULT;53000;LAVAL;7820Z Activités des agences de travail temporaire;MUTUALISE;Etendue
798445037;A2I SARL;370 AVENUE SAINT ALEXANDRE SAULI;20270;ALERIA;9511Z Réparation d'ordinateurs et d'équipements de communication;INTERNE;Etendue
799274170;A2I SUD;11 RUE EMILE BRAULT;53000;LAVAL;7820Z Activités des agences de travail temporaire;MUTUALISE;Etendue
508974128;A2MICILE EUROPE;48, RUE DU FAUBOURG DE SAVERNE;67000;STRASBOURG;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;INTERNE;Etendue
752591248;A3 JURIS;84 RUE DE LA PART-DIEU;69003;LYON;6910Z Activités juridiques;PROFESSIONNEL;Etendue
519071575;AAA DATA;2 RUE PRESBOURG;75008;PARIS;"6311Z Traitement de données, hébergement et activités connexes ; portails internet";INTERNE;Etendue
353751431;AAHJ;2A, RUE KOENIGSHOFFEN;67000;STRASBOURG;8790B Autres activités d'hébergement social;EXTERNE;Partielle
384959227;AAPHTV;830 CHE DE LA RIVIERE;69210;EVEUX;8720A Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;PROFESSIONNEL;Etendue
449666361;AASTRA FRANCE;1, RUE ARNOLD SCHOENBERG;78280;GUYANCOURT;2630Z Fabrication d'équipements de communication;INTERNE;Etendue
807941778;ABACO MARKETS;7 RUE DU PRESSOIR;94440;MAROLLES EN BRIE;6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite;MUTUALISE;Générale
528745631;ABBEVILLE SARL;151 AVENUE JEAN CHAUBET;31500;TOULOUSE CHAUBET;4711D Commerce de détail en magasin non spécialisé;MUTUALISE;Etendue
434461778;ABBIS INVESTIGATIONS;539 AVENUE JEAN PROUVE;30900;NIMES;746Z Enquêtes et sécurité;EXTERNE;Générale
498042084;ABBIS VAUCLUSE;SITE AGROPARC - BAT. D, 81 RUE DU TRAITE DE ROME BP.51224-;84911;AVIGNON CEDEX 9;8010Z Activités de sécurité privée;PROFESSIONNEL;Générale
531920908;ABC DROIT HUISSIER DE JUSTICE;85 BOULEVARD CAMILLE BLANC;34200;SETE;;PROFESSIONNEL;Etendue
802230888;ABC HUISSIERS;CENTRE D'AFFAIRES LE PRE AUX CLERS;56100;LORIENT;Code APE: 6910;PROFESSIONNEL;Etendue
381278449;ABERDEEN ASSET MANAGEMENT GESTION SNC;25 AVENUE DE KLEBER;75784;PARIS CEDEX 16;6630Z Gestion de fonds;MUTUALISE;Etendue
438150666;ABITBOL NOTAIRE;3 RUE DE WITTEN ZONE DE PINCONLIEU;60000;BEAUVAIS;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue
494586399;ABLOGIX;BELLA VISTA;72110;SAINT CELERIN;;INTERNE;Etendue
410750863;ABN AMRO COMMERCIAL FINANCE;39 RUE ANATOLE FRANCE;92300;LEVALLOIS PERRET;6499Z Autres activités des services financiers, hors assurance et caisses de retraite;INTERNE;Etendue
333436731;ABONDANCE 207;8 AVENUE DU PRESIDENT S.ALLENDE;91560;CROSNE;4711D Commerce de détail en magasin non spécialisé;MUTUALISE;Etendue
411871569;ABRAYSIENNE;10 AVENUE AMPERE;45800;SAINT JEAN DE BRAYE;4322B Travaux d'installation électrique, plomberie et autres travaux d'installation;SALARIE;Etendue
534112057;ABRI ADMR;CS 20143 27 AV DES FORGES;65000;TARBES;9499Z Activités des autres organisations associatives;PROFESSIONNEL;Etendue
404144792;AC AUTOMATION;6 ROUTE DE BONNETAGE;25210;BONNETAGE;Code APE: 3320C;MUTUALISE;Etendue
539717629;AC&B;2 RUE GUSTAVE EIFFEL;10430;ROSIERES PRES TROYES;4645Z Commerce de gros de biens domestiques;EXTERNE;Etendue
171304306;ACADEMIE D'AIX-MARSEILLE;PLACE LUCIEN PAYE;13621;AIX EN PROVENCE CEDEX 1;8412Z Administration générale, économique et sociale;INTERNE;Etendue
178004305;ACADEMIE D'AMIENS;20 BOULEVARD ALSACE LORRAINE;80026;AMIENS CEDEX 1;Code APE: 751C;INTERNE;Etendue
179734306;ACADEMIE DE LA GUYANE;RECTORAT DE LA GUYANE  - BP 6011;97306;CAYENNE CEDEX;8412Z Administration générale, économique et sociale;INTERNE;Etendue
179744305;ACADEMIE DE LA REUNION RECTORAT;24 AVENUE GEORGES BRASSENS CS 71003;97743;SAINT DENIS CEDEX 9;8412Z Administration générale, économique et sociale;INTERNE;Etendue
483820080;ACADOMIA AIS 2 SAS;7 RUE DE LA BAUME;75008;PARIS;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;INTERNE;Etendue
349367557;ACADOMIA GROUPE SA;7 RUE DE LA BAUME;75008;PARIS;;SALARIE;Etendue
323781013;ACAFPA LE BOURGNEUF LA FORET;SERVICE AIDE A DOMICILE 5 BD DES MARRONNIERS;53410;LE BOURGNEUF LA FORET;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
752216937;ACB;19, RUE PAUL SERAMY;77300;FONTAINEBLEAU;7021Z Conseil de gestion;EXTERNE;Etendue
413125337;ACCA;20 BOULEVARD EUGENE DERUELLE LE BRITANNIA – BATIMENT B;69432;LYON CEDEX 3;8690F Autres activités pour la santé humaine;INTERNE;Etendue
513676064;ACCENSO;4 BIS RUE GABRIEL¨PERI PROLONGEE BP 4;26301;BOURG DE PEAGE;6910Z Activités juridiques;PROFESSIONNEL;Etendue
522366319;ACCESS FINANCE;15, RUE ALFRED SAUVY;31270;CUGNAUX;6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite;EXTERNE;Etendue
808941736;ACCI ENTERTAINMENT;14 RUE DU PARC;91170;VIRY-CHATILLON;5911A Activités cinématographiques, vidéo et de télévision;EXTERNE;Etendue
452779051;ACCUEIL  SERVICE CLIENTS ET STANDARD CENTRALISE;18, 26 RIE GOUBET;75019;PARIS;8299Z Activités de soutien aux entreprises n.c.a.;EXTERNE;Etendue
775547169;ACCUEIL ET PROMOTION;15 RUE VOLTAIRE;02100;SAINT QUENTIN;5590Z Autres hébergements;INTERNE;Etendue
794115980;ACCUEIL JOUR ADMR LES MYOSOTIS;CHEMIN DU FRAYSSE  LE BOURG;12320;SAINT CYPRIEN SUR DOURDOU;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue
443978259;ACE DAUMESNIL;116 RUE DE REUILLY;75012;PARIS;6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite;MUTUALISE;Etendue
450327374;ACE EUROPEAN GROUP LIMITED;8, AVENUE DE L'ARCHE IMMEUBLE LE COLISEE;92400;COURBEVOIE;6512Z Assurance;INTERNE;Etendue
484583539;ACE ISSY;170 RUE DU VIEUX PONT DE SEVRES;92100;BOULOGNE BILLANCOURT;6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite;MUTUALISE;Etendue
447621517;ACE JAURES;28 BD DE LA LIBERTE;93260;LES LILAS;6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite;INTERNE;Etendue
402704514;ACE JB;26 RUE VOLTAIRE;92300;LEVALLOIS;6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite;MUTUALISE;Etendue
482164282;ACE PATRIMOINE;52 RUE GABRIEL PERI;92300;LEVALLOIS PERRET;8299Z Activités de soutien aux entreprises n.c.a.;MUTUALISE;Etendue
430431874;ACE TOCQUEVILLE;81 RUE DE TOCQUEVILLE;75017;PARIS;6619B Activités auxiliaires de services financiers, hors assurance et caisses de retraite;MUTUALISE;Etendue
430431874;ACE TOCQUEVILLE;81 RUE DE TOCQUEVILLE;75017;PARIS;6419Z Intermédiation monétaire;INTERNE;Etendue
353796980;ACECOM;56 RUE PAUL CLAUDEL;87000;LIMOGES;4661Z Commerce de gros d'autres équipements industriels;MUTUALISE;Etendue
448892737;ACENSI;22 PLACE DES VOSGES -TOUR MONGE;92400;COURBEVOIE - DEFENSE 5;6202A Programmation, conseil et autres activités informatiques;INTERNE;Etendue
771300027;ACG-SYNERGIES;390 BOULEVARD DU 8 MAI 1945;01000;BOURG-EN-BRESSE;8299Z Activités de soutien aux entreprises n.c.a.;INTERNE;Etendue
443755038;ACHEMINEMENT COOPERATIF DEUX SEVRIEN;310 BIS AVENUE DE PARIS BP1045;79000;NIORT;602L Transports urbains et routiers;EXTERNE;Générale
799274162;ACIERIM 77;11 RUE EMILE BRAULT;53000;LAVAL;7820Z Activités des agences de travail temporaire;MUTUALISE;Etendue
440536555;ACM;34 RUE DU WACKEN BP 373 R 10;67000;STRASBOURG;6511Z Assurance;SALARIE;Etendue
352406748;ACM IARD SA;34 RUE DU WACKEN;67000;STRASBOURG;6512Z Assurance;SALARIE;Etendue
432710135;ACM SERVICES;34 RUE DU WACKEN;67000;STRASBOURG;4520A Entretien et réparation de véhicules automobiles;SALARIE;Etendue
332377597;ACM VIE S.A;34 RUE DU WACKEN;67000;STRASBOURG;6511Z Assurance;SALARIE;Etendue
434143343;ACOM;257-259 RUE LECOURBE;75015;PARIS;4711D Commerce de détail en magasin non spécialisé;MUTUALISE;Etendue
400915583;ACP FORMATION;35 RUE DU LOUVRE;75002;PARIS;8559A Autres activités d'enseignement;PROFESSIONNEL;Etendue
775678311;ACPPP;59 RUE PLANCHAT;75020;PARIS;8532Z Enseignement secondaire;INTERNE;Générale
417697950;ACRD-INFOS;LES SAULNIERS - 3 IMPASSE DE LA VERNIERE;03510;CHASSENARD;6910Z Activités juridiques;INTERNE;Partielle
331900753;ACT SERVICE;18 RUE DE LA BONETTE;17000;LA RCOHELLE;4651Z Commerce de gros d'équipements de l'information et de la communication;INTERNE;Etendue
538573866;ACTA;9 RUE GUSTAVE COURBET;75116;PARIS;6910Z Activités juridiques;PROFESSIONNEL;Etendue
794142703;ACTA JURIS 70;95 RUE FRANCOIS MITTERAND;70170;PORT SUR SAONE;;PROFESSIONNEL;Etendue
385107180;ACTA SA;PARC DES TUILERIES BP 28;69578;LIMONEST;8299Z Activités de soutien aux entreprises n.c.a.;INTERNE;Partielle
344379466;ACTAL;11 ALLÉE DE L'ARCHE;92032;PARIS LA DÉFENSE CEDEX;5610C Restaurants et services de restauration mobile;MUTUALISE;Etendue
484234430;ACTANCE IT;27 RUE DU CALVAIRE;44000;NANTES;8220Z Activités de centres d'appels;INTERNE;Etendue
;ACTAREC;4 / 12 BLD DES BELGES BP 1040;76172;ROUEN CEDEX 1;;PROFESSIONNEL;Etendue
